column 1,column 2
4190,8723.05
4200,9169.32
4210,7679.37
4220,7537.82
4230,8541.57
4240,8590.78
4250,7915.78
4260,7821.48
4270,8846.08
4280,8067.33
4290,7876.54
4300,9909.5
4310,9296.37
4320,8662.52
4330,10021.19
4340,9404.8
4350,7301.93
4360,7875.28
4370,7584.63
4380,8285.57
4390,8097.13
4400,8429.25
4410,8483.66
4420,8165.07
4430,8912.02
4440,10232.46
4450,8400.99
4460,9440.96
4470,8461.38
4480,7948.49
4490,8813.29
4500,9578.09
4510,9758.46
4520,9749.8
4530,8157.95
4540,8696.67
4550,10076.61
4560,9188.51
4570,8935.41
4580,10785.24
4590,8542.63
4600,9760.74
4610,8940.5
4620,11512.42
4630,8829.39
4640,9574.25
4650,9676.03
4660,10041.18
4670,9510.59
4680,10316.52
4690,9495.59
4700,8508.21
4710,8376.24
4720,9069.31
4730,11141.61
4740,10075.04
4750,8977.39
4760,11256.26
4770,9196.39
4780,9484.04
4790,11322.39
4800,8316.95
4810,8885.09
4820,8394.73
4830,7863.11
4840,10482.11
4850,9037.81
4860,11225.14
4870,9256.09
4880,8824.56
4890,9728.08
4900,9797.98
4910,9195.18
4920,10518.08
4930,9980.25
4940,9466.7
4950,10247.7
4960,9069.83
4970,11129.3
4980,8438.79
4990,6846.9
5000,9551.99
5010,8871.36
5020,11239.52
5030,10640.72
5040,9165.93
5050,9162.95
5060,9564.45
5070,11795.68
5080,12227.81
5090,10871.84
5100,9755.23
5110,9131.44
5120,9691.2
5130,10627.26
5140,10779.6
5150,11230.1
5160,11365.42
5170,9646.12
5180,10125.12
5190,10309.73
5200,9091.68
5210,11447.27
5220,9722.63
5230,8687.9
5240,11569.95
5250,9946.84
5260,11105.29
5270,9954.78
5280,11417.1
5290,10121.93
5300,9837.51
5310,12487.59
5320,12159.29
5330,10304.12
5340,13133.57
5350,12695.05
5360,12466.66
5370,11948.73
5380,10259.58
5390,11792.52
5400,11649.64
5410,10629.44
5420,9948.99
5430,11740.12
5440,10484.57
5450,13288.46
5460,11242.86
5470,10689.39
5480,11629.31
5490,10073.69
5500,11833.03
5510,9612.48
5520,11015.93
5530,9434.91
5540,9268.21
5550,11655.81
5560,10005.88
5570,11258.99
5580,12080.94
5590,10617.31
5600,11723.77
5610,10320.58
5620,13582.88
5630,10761.51
5640,11927.44
5650,13018.92
5660,10788.58
5670,10034.11
5680,11328.84
5690,10123.71
5700,11815.56
5710,12160.77
5720,11656.35
5730,13685.75
5740,9573.89
5750,13065.19
5760,13023.49
5770,11899.91
5780,9915.54
5790,11037.3
5800,10645.76
5810,11356.65
5820,11806.67
5830,11070.94
5840,11766.83
5850,10472.38
5860,9505.63
5870,11725.59
5880,11772.59
5890,11161.58
5900,9885.17
5910,9791.93
5920,12235.05
5930,12075.44
5940,12730.69
5950,10995.29
5960,12063.86
5970,11518.49
5980,9977.86
5990,12132.32
6000,11513.23
6010,11096.06
6020,11599.1
6030,11516.48
6040,12523.82
6050,12689.35
6060,13138.58
6070,11052.27
6080,12338.17
6090,12736.13
6100,12285.64
6110,12702.69
6120,13430.32
6130,14581.19
6140,10551.61
6150,13531.55
6160,13167.51
6170,10243.12
6180,13363.97
6190,11228.4
6200,10897.28
6210,12285.43
6220,12289.36
6230,10682.73
6240,13207.27
6250,14392.57
6260,13564.09
6270,10647.23
6280,12033.39
6290,12859.3
6300,12431.57
6310,11806.19
6320,12875.43
6330,11313.65
6340,11813.07
6350,11766.05
6360,14032.64
6370,10247.26
6380,13454.56
6390,10687.44
6400,11063.93
6410,12334.42
6420,11287.21
6430,12044.01
6440,13230.15
6450,12851.97
6460,12927.02
6470,12942.76
6480,13614.32
6490,11026.04
6500,12873.77
6510,12257.13
6520,11348.4
6530,12044.51
6540,12833.1
6550,14891.56
6560,12461.49
6570,12335.09
6580,15244.55
6590,13663.18
6600,14373.26
6610,12686.84
6620,16458.19
6630,12734.02
6640,13225.25
6650,10908.9
6660,11196.89
6670,16491.53
6680,13744.86
6690,13922.23
6700,12418.25
6710,15405.95
6720,13091.95
6730,13335.07
6740,13563.96
6750,13115.73
6760,11189.78
6770,15837.11
6780,16188.14
6790,14933.4
6800,13235.61
6810,12923.77
6820,13545.75
6830,12837.78
6840,15669.99
6850,12731.47
6860,13515.47
6870,12491.34
6880,13505.06
6890,12530.29
6900,14747.06
6910,13248.18
6920,13072.67
6930,14083.41
6940,15123.97
6950,16410.82
6960,12245.73
6970,12858.51
6980,16380.04
6990,15215.58
7000,14776.4
7010,11470.32
7020,12682.51
7030,13979.86
7040,12687.58
7050,14750.17
7060,13768.42
7070,15104.39
7080,12345.53
7090,14048.93
7100,11692.02
7110,14243.81
7120,15480.1
7130,16694.68
7140,13846.09
7150,13365.18
7160,13991.44
7170,15919.3
7180,14053.98
7190,17541.19
7200,16814.9
7210,14360.39
7220,12252.26
7230,16362.8
7240,13093.41
7250,14092.49
7260,15042.47
7270,14167.75
7280,13079.67
7290,15169.93
7300,14043.66
7310,14563.9
7320,11910.54
7330,12704.72
7340,13652.13
7350,15223.1
7360,12952.38
7370,15471.56
7380,15899.61
7390,13141.75
7400,14368.35
7410,14027.97
7420,15610.69
7430,16079.3
7440,16775.97
7450,14367.09
7460,11775.73
7470,13683.13
7480,16826.83
7490,14865.36
7500,14585.35
7510,14226.09
7520,13324.29
7530,13974.57
7540,14311.1
7550,13398.3
7560,14457.75
7570,12906.56
7580,13741.04
7590,15757.81
7600,13987.08
7610,15770.29
7620,15032.53
7630,13666.29
7640,13818.56
7650,16255.85
7660,14313.49
7670,14698.17
7680,17427.17
7690,12411.58
7700,15045.73
7710,18900.58
7720,15765.81
7730,13397.49
7740,12672.29
7750,14300.21
7760,14822.64
7770,15778.69
7780,18285.2
7790,16252.76
7800,13757.5
7810,17174.16
7820,17635.33
7830,14362.94
7840,14697.96
7850,16715.66
7860,14890.57
7870,15048.74
7880,15463.69
7890,14456.29
7900,15407.07
7910,17003.23
7920,14547.53
7930,15313.64
7940,16118.35
7950,16156.84
7960,16554.1
7970,17134.45
7980,19423.47
7990,15655.34
8000,14426.07
8010,14765.28
8020,14584.84
8030,15409.45
8040,17801.01
8050,14816.4
8060,15704.98
8070,17649.06
8080,14054.42
8090,15952.12
8100,14925.64
8110,14898.1
8120,17274.27
8130,18416.52
8140,15871.21
8150,15522.69
8160,17595.93
8170,15046.15
8180,19427.75
8190,15104.1
8200,14918.21
8210,18016.36
8220,17726.01
8230,16072.45
8240,15845.76
8250,18637.98
8260,15135.46
8270,19388.62
8280,15531.4
8290,12938.82
8300,17641.66
8310,15259.57
8320,16355.64
8330,15746.19
8340,13622.57
8350,16606.5
8360,13431.76
8370,14404
8380,17743.94
8390,17076.5
8400,15902.34
8410,16590.74
8420,18827.11
8430,18145.01
8440,15385.44
8450,18883.54
8460,16614.13
8470,18280.84
8480,20496.28
8490,17134.42
8500,18666.6
8510,17928.62
8520,14447.32
8530,16160.34
8540,16492.9
8550,14986.7
8560,20339.25
8570,17597.97
8580,16363.81
8590,15946.8
8600,17019.54
8610,16833.08
8620,18063.42
8630,16420.28
8640,14587.39
8650,19194.36
8660,17813.63
8670,16206.24
8680,18178.69
8690,18760.2
8700,19414.3
8710,15796.01
8720,20394.06
8730,18228.33
8740,17446.11
8750,16011.84
8760,18635.58
8770,15754
8780,17759.13
8790,18423.84
8800,16886.29
8810,15968.88
8820,14610.95
8830,19362.71
8840,14489.05
8850,18380.28
8860,21173
8870,20950.1
8880,17244.61
8890,18073.81
8900,19023.75
8910,17789
8920,20853.91
8930,18460.56
8940,15159.38
8950,17638.29
8960,18267.14
8970,17869.26
8980,18703.27
8990,18239.78
9000,18799.16
9010,21249.06
9020,19857.83
9030,21253.46
9040,19312.4
9050,18429.95
9060,22456.57
9070,16766.17
9080,18102.96
9090,18905.79
9100,17656.87
9110,18446.83
9120,19660.41
9130,16001.5
9140,16855.79
9150,18762.74
9160,16357.8
9170,20059.01
9180,16453.51
9190,18612.3
9200,16938.17
9210,19111.35
9220,21393.7
9230,20564.75
9240,16686.82
9250,15918.4
9260,16735.24
9270,21613.78
9280,14468.14
9290,22399.18
9300,17240.19
9310,17176.43
9320,18325.55
9330,19087.43
9340,21979.96
9350,17422.23
9360,14129.44
9370,17007.46
9380,18775.76
9390,15639.05
9400,16151.47
9410,18187.23
9420,20959.5
9430,18468.27
9440,17990.86
9450,15613.25
9460,17578.92
9470,23416.94
9480,17008.07
9490,17306.16
9500,20729.79
9510,16514.02
9520,21141.32
9530,21046.04
9540,17196.1
9550,20033.32
9560,16481.56
9570,16003.51
9580,17259.42
9590,17845.57
9600,13698.41
9610,19877.63
9620,17666.27
9630,17895.69
9640,17384.6
9650,18269.35
9660,17690.91
9670,15514.73
9680,19255.33
9690,22274.78
9700,21824.69
9710,21040.6
9720,19982.49
9730,20788.22
9740,19626.66
9750,16318.17
9760,19455.35
9770,16894.96
9780,21902.44
9790,17095.5
9800,20634
9810,17927.96
9820,20346.52
9830,20056.09
9840,18041.88
9850,18712.3
9860,18815.52
9870,18414.22
9880,20790.14
9890,15056.46
9900,21324
9910,20592.35
9920,16403.51
9930,21755.41
9940,19663.55
9950,19214.57
9960,19900.74
9970,21905.29
9980,19992.71
9990,20035.09
10000,19551.28
