column 1,column 2
454,4.59e-10
455,4.59e-10
456,4.60e-10
457,4.60e-10
458,4.61e-10
459,4.61e-10
460,4.62e-10
461,4.62e-10
462,4.63e-10
463,4.63e-10
464,4.64e-10
465,4.65e-10
466,4.65e-10
467,4.66e-10
468,4.66e-10
469,4.67e-10
470,4.67e-10
471,4.68e-10
472,4.68e-10
473,4.68e-10
474,4.69e-10
475,4.69e-10
476,4.70e-10
477,4.70e-10
478,4.71e-10
479,4.71e-10
480,4.72e-10
481,4.72e-10
482,4.73e-10
483,4.73e-10
484,4.74e-10
485,4.74e-10
486,4.75e-10
487,4.75e-10
488,4.76e-10
489,4.76e-10
490,4.77e-10
491,4.77e-10
492,4.78e-10
493,4.78e-10
494,4.78e-10
495,4.79e-10
496,4.79e-10
497,4.80e-10
498,4.80e-10
499,4.81e-10
500,4.81e-10
501,4.82e-10
502,4.82e-10
503,4.83e-10
504,4.83e-10
505,4.83e-10
506,4.84e-10
507,4.84e-10
508,4.85e-10
509,4.85e-10
510,4.86e-10
511,4.86e-10
512,4.87e-10
513,4.87e-10
514,4.87e-10
515,4.88e-10
516,4.88e-10
517,4.89e-10
518,4.89e-10
519,4.90e-10
520,4.90e-10
521,4.90e-10
522,4.91e-10
523,4.91e-10
524,4.92e-10
525,4.92e-10
526,4.92e-10
527,4.93e-10
528,4.93e-10
529,4.94e-10
530,4.94e-10
531,4.95e-10
532,4.95e-10
533,4.95e-10
534,4.96e-10
535,4.96e-10
536,4.97e-10
537,4.97e-10
538,4.97e-10
539,4.98e-10
540,4.98e-10
541,4.99e-10
542,4.99e-10
543,4.99e-10
544,5.00e-10
545,5.00e-10
546,5.01e-10
547,5.01e-10
548,5.01e-10
549,5.02e-10
550,5.02e-10
551,5.03e-10
552,5.03e-10
553,5.03e-10
554,5.04e-10
555,5.04e-10
556,5.04e-10
557,5.05e-10
558,5.05e-10
559,5.06e-10
560,5.06e-10
561,5.06e-10
562,5.07e-10
563,5.07e-10
564,5.07e-10
565,5.08e-10
566,5.08e-10
567,5.09e-10
568,5.09e-10
569,5.09e-10
570,5.10e-10
571,5.10e-10
572,5.10e-10
573,5.11e-10
574,5.11e-10
575,5.11e-10
576,5.12e-10
577,5.12e-10
578,5.13e-10
579,5.13e-10
580,5.13e-10
581,5.14e-10
582,5.14e-10
583,5.14e-10
584,5.15e-10
585,5.15e-10
586,5.15e-10
587,5.16e-10
588,5.16e-10
589,5.16e-10
590,5.17e-10
591,5.17e-10
592,5.17e-10
593,5.18e-10
594,5.18e-10
595,5.18e-10
596,5.19e-10
597,5.19e-10
598,5.19e-10
599,5.20e-10
600,5.20e-10
601,5.20e-10
602,5.21e-10
603,5.21e-10
604,5.21e-10
605,5.22e-10
606,5.22e-10
607,5.22e-10
608,5.23e-10
609,5.23e-10
610,5.23e-10
611,5.24e-10
612,5.24e-10
613,5.24e-10
614,5.25e-10
615,5.25e-10
616,5.25e-10
617,5.26e-10
618,5.26e-10
619,5.26e-10
620,5.27e-10
621,5.27e-10
622,5.27e-10
623,5.28e-10
624,5.28e-10
625,5.28e-10
626,5.29e-10
627,5.29e-10
628,5.29e-10
629,5.29e-10
630,5.30e-10
631,5.30e-10
632,5.30e-10
633,5.31e-10
634,5.31e-10
635,5.31e-10
636,5.32e-10
637,5.32e-10
638,5.32e-10
639,5.33e-10
640,5.33e-10
641,5.33e-10
642,5.33e-10
643,5.34e-10
644,5.34e-10
645,5.34e-10
646,5.35e-10
647,5.35e-10
648,5.35e-10
649,5.36e-10
650,5.36e-10
651,5.36e-10
652,5.36e-10
653,5.37e-10
654,5.37e-10
655,5.37e-10
656,5.38e-10
657,5.38e-10
658,5.38e-10
659,5.38e-10
660,5.39e-10
661,5.39e-10
662,5.39e-10
663,5.40e-10
664,5.40e-10
665,5.40e-10
666,5.40e-10
667,5.41e-10
668,5.41e-10
669,5.41e-10
670,5.42e-10
671,5.42e-10
672,5.42e-10
